"Federal investment in tax credits, grants, and the fiscal costs of loans and loan guarantees by category, 2023 million USD"

version:,2024_Q4.20250218.0
created:,Tue Feb 18 16:00:32 2025 (MST)

Segment,Category,quarter,Total Federal Investment
Energy and Industry,Clean Electricity Tax Credits,2022-Q1,1573.602
Energy and Industry,Clean Electricity Tax Credits,2022-Q2,1700.449
Energy and Industry,Clean Electricity Tax Credits,2022-Q3,2092.241
Energy and Industry,Clean Electricity Tax Credits,2022-Q4,4048.616
Energy and Industry,Clean Electricity Tax Credits,2023-Q1,2013.910
Energy and Industry,Clean Electricity Tax Credits,2023-Q2,3565.844
Energy and Industry,Clean Electricity Tax Credits,2023-Q3,3225.401
Energy and Industry,Clean Electricity Tax Credits,2023-Q4,5362.543
Energy and Industry,Clean Electricity Tax Credits,2024-Q1,4326.302
Energy and Industry,Clean Electricity Tax Credits,2024-Q2,5554.897
Energy and Industry,Clean Electricity Tax Credits,2024-Q3,5295.954
Energy and Industry,Clean Electricity Tax Credits,2024-Q4,7332.589
Energy and Industry,Emerging Climate Technology Tax Credits,2022-Q1,53.780
Energy and Industry,Emerging Climate Technology Tax Credits,2022-Q2,52.777
Energy and Industry,Emerging Climate Technology Tax Credits,2022-Q3,51.973
Energy and Industry,Emerging Climate Technology Tax Credits,2022-Q4,51.566
Energy and Industry,Emerging Climate Technology Tax Credits,2023-Q1,111.787
Energy and Industry,Emerging Climate Technology Tax Credits,2023-Q2,127.597
Energy and Industry,Emerging Climate Technology Tax Credits,2023-Q3,141.870
Energy and Industry,Emerging Climate Technology Tax Credits,2023-Q4,159.183
Energy and Industry,Emerging Climate Technology Tax Credits,2024-Q1,191.745
Energy and Industry,Emerging Climate Technology Tax Credits,2024-Q2,248.384
Energy and Industry,Emerging Climate Technology Tax Credits,2024-Q3,349.820
Energy and Industry,Emerging Climate Technology Tax Credits,2024-Q4,385.040
Manufacturing,Advanced Manufacturing Tax Credits,2022-Q1,0.000
Manufacturing,Advanced Manufacturing Tax Credits,2022-Q2,0.000
Manufacturing,Advanced Manufacturing Tax Credits,2022-Q3,0.000
Manufacturing,Advanced Manufacturing Tax Credits,2022-Q4,0.000
Manufacturing,Advanced Manufacturing Tax Credits,2023-Q1,1797.584
Manufacturing,Advanced Manufacturing Tax Credits,2023-Q2,2008.000
Manufacturing,Advanced Manufacturing Tax Credits,2023-Q3,2223.315
Manufacturing,Advanced Manufacturing Tax Credits,2023-Q4,2464.166
Manufacturing,Advanced Manufacturing Tax Credits,2024-Q1,2682.022
Manufacturing,Advanced Manufacturing Tax Credits,2024-Q2,3576.731
Manufacturing,Advanced Manufacturing Tax Credits,2024-Q3,3974.841
Manufacturing,Advanced Manufacturing Tax Credits,2024-Q4,4190.813
Retail,Non-residential Distributed Energy Tax Credits,2022-Q1,328.602
Retail,Non-residential Distributed Energy Tax Credits,2022-Q2,234.219
Retail,Non-residential Distributed Energy Tax Credits,2022-Q3,170.615
Retail,Non-residential Distributed Energy Tax Credits,2022-Q4,209.159
Retail,Non-residential Distributed Energy Tax Credits,2023-Q1,176.427
Retail,Non-residential Distributed Energy Tax Credits,2023-Q2,189.140
Retail,Non-residential Distributed Energy Tax Credits,2023-Q3,226.939
Retail,Non-residential Distributed Energy Tax Credits,2023-Q4,303.201
Retail,Non-residential Distributed Energy Tax Credits,2024-Q1,253.585
Retail,Non-residential Distributed Energy Tax Credits,2024-Q2,245.918
Retail,Non-residential Distributed Energy Tax Credits,2024-Q3,215.575
Retail,Non-residential Distributed Energy Tax Credits,2024-Q4,419.833
Retail,Residential Energy & Efficiency Tax Credits,2022-Q1,1053.394
Retail,Residential Energy & Efficiency Tax Credits,2022-Q2,1149.467
Retail,Residential Energy & Efficiency Tax Credits,2022-Q3,1251.194
Retail,Residential Energy & Efficiency Tax Credits,2022-Q4,1446.502
Retail,Residential Energy & Efficiency Tax Credits,2023-Q1,1985.555
Retail,Residential Energy & Efficiency Tax Credits,2023-Q2,2203.235
Retail,Residential Energy & Efficiency Tax Credits,2023-Q3,2339.490
Retail,Residential Energy & Efficiency Tax Credits,2023-Q4,1814.767
Retail,Residential Energy & Efficiency Tax Credits,2024-Q1,1692.348
Retail,Residential Energy & Efficiency Tax Credits,2024-Q2,1784.019
Retail,Residential Energy & Efficiency Tax Credits,2024-Q3,2062.501
Retail,Residential Energy & Efficiency Tax Credits,2024-Q4,1889.814
Retail,Zero Emission Vehicle Tax Credits,2022-Q1,574.145
Retail,Zero Emission Vehicle Tax Credits,2022-Q2,709.206
Retail,Zero Emission Vehicle Tax Credits,2022-Q3,609.797
Retail,Zero Emission Vehicle Tax Credits,2022-Q4,823.922
Retail,Zero Emission Vehicle Tax Credits,2023-Q1,1739.950
Retail,Zero Emission Vehicle Tax Credits,2023-Q2,2122.794
Retail,Zero Emission Vehicle Tax Credits,2023-Q3,2321.286
Retail,Zero Emission Vehicle Tax Credits,2023-Q4,2290.753
Retail,Zero Emission Vehicle Tax Credits,2024-Q1,2211.309
Retail,Zero Emission Vehicle Tax Credits,2024-Q2,2510.857
Retail,Zero Emission Vehicle Tax Credits,2024-Q3,2659.705
Retail,Zero Emission Vehicle Tax Credits,2024-Q4,2794.670
Energy and Industry,"Grants, Loans, and Loan Guarantees",2022-Q1,36.583
Energy and Industry,"Grants, Loans, and Loan Guarantees",2022-Q2,52.711
Energy and Industry,"Grants, Loans, and Loan Guarantees",2022-Q3,36.583
Energy and Industry,"Grants, Loans, and Loan Guarantees",2022-Q4,238.460
Energy and Industry,"Grants, Loans, and Loan Guarantees",2023-Q1,238.531
Energy and Industry,"Grants, Loans, and Loan Guarantees",2023-Q2,266.284
Energy and Industry,"Grants, Loans, and Loan Guarantees",2023-Q3,371.890
Energy and Industry,"Grants, Loans, and Loan Guarantees",2023-Q4,1124.128
Energy and Industry,"Grants, Loans, and Loan Guarantees",2024-Q1,1137.324
Energy and Industry,"Grants, Loans, and Loan Guarantees",2024-Q2,1215.406
Energy and Industry,"Grants, Loans, and Loan Guarantees",2024-Q3,1404.146
Energy and Industry,"Grants, Loans, and Loan Guarantees",2024-Q4,2464.043
Manufacturing,"Grants, Loans, and Loan Guarantees",2022-Q1,0.099
Manufacturing,"Grants, Loans, and Loan Guarantees",2022-Q2,0.368
Manufacturing,"Grants, Loans, and Loan Guarantees",2022-Q3,3.632
Manufacturing,"Grants, Loans, and Loan Guarantees",2022-Q4,86.927
Manufacturing,"Grants, Loans, and Loan Guarantees",2023-Q1,6.927
Manufacturing,"Grants, Loans, and Loan Guarantees",2023-Q2,9.086
Manufacturing,"Grants, Loans, and Loan Guarantees",2023-Q3,9.086
Manufacturing,"Grants, Loans, and Loan Guarantees",2023-Q4,62.491
Manufacturing,"Grants, Loans, and Loan Guarantees",2024-Q1,63.612
Manufacturing,"Grants, Loans, and Loan Guarantees",2024-Q2,79.444
Manufacturing,"Grants, Loans, and Loan Guarantees",2024-Q3,76.819
Manufacturing,"Grants, Loans, and Loan Guarantees",2024-Q4,923.320
Retail,"Grants, Loans, and Loan Guarantees",2022-Q1,0.000
Retail,"Grants, Loans, and Loan Guarantees",2022-Q2,0.000
Retail,"Grants, Loans, and Loan Guarantees",2022-Q3,0.000
Retail,"Grants, Loans, and Loan Guarantees",2022-Q4,34.652
Retail,"Grants, Loans, and Loan Guarantees",2023-Q1,34.652
Retail,"Grants, Loans, and Loan Guarantees",2023-Q2,37.049
Retail,"Grants, Loans, and Loan Guarantees",2023-Q3,37.392
Retail,"Grants, Loans, and Loan Guarantees",2023-Q4,212.552
Retail,"Grants, Loans, and Loan Guarantees",2024-Q1,212.552
Retail,"Grants, Loans, and Loan Guarantees",2024-Q2,274.623
Retail,"Grants, Loans, and Loan Guarantees",2024-Q3,276.646
Retail,"Grants, Loans, and Loan Guarantees",2024-Q4,634.404
